Flow ID,Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration (ms),Total Fwd Packets,Total Bwd Packets,Flow Bytes/s,Flow Packets/s,Label
1,192.168.1.10,172.16.0.5,49152,80,TCP,2450,15,12,"12,540",11.02,BENIGN
2,192.168.1.15,172.16.0.8,53214,443,TCP,3150,20,18,"18,420",12.06,BENIGN
3,10.0.0.25,172.16.0.10,51001,80,TCP,800,350,2,"12,40,500",440,DDoS
4,10.0.0.30,172.16.0.12,50345,22,TCP,1200,60,5,"52,000",54.17,Brute Force
5,10.0.0.35,172.16.0.15,52010,21,TCP,1500,90,6,"68,500",64,FTP-Patator
6,10.0.0.40,172.16.0.18,53005,80,TCP,700,200,4,"8,10,000",291.43,DoS
7,10.0.0.45,172.16.0.20,50100,8080,TCP,950,40,8,"35,600",50.53,PortScan
8,10.0.0.50,172.16.0.25,52050,443,TCP,1800,30,15,"24,800",25,Bot
9,10.0.0.55,172.16.0.30,54000,80,TCP,2300,25,20,"19,600",19.57,Web Attack
10,192.168.1.22,172.16.0.35,55000,443,TCP,2600,18,16,"17,400",13.08,BENIGN
